,Cedula,Circunscripcion,Comuna,DV,Edad,Nacionalidad,Pais Domicilio,Pais Nacimiento,Partido,Provincia,Rango Edad,Region,Sexo,Sufragio,VotoExterior,Número de registros,Votaron
0,0,Coyhaique,Coyhaique,0,22,chilena,Chile,Chile,[130] FEDERACION REGIONALISTA VERDE SOCIAL,Coyhaique,20-24,De Aysen Del General Carlos Ibañez Del Campo,femenino,sufragó,Nacional,1,1.0
1,0,El Puerto,Valparaiso,0,89,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,80 o +,De Valparaiso,femenino,no sufragó,Nacional,1,
2,0,Iquique,Iquique,0,99,chilena,Chile,Chile,SIN PARTIDO,Iquique,80 o +,De Tarapaca,masculino,no sufragó,Nacional,1,
3,0,Rio Tranquilo,Rio Ibañez,0,22,chilena,Chile,Chile,SIN PARTIDO,General Carrera,20-24,De Aysen Del General Carlos Ibañez Del Campo,masculino,sufragó,Nacional,1,1.0
4,0,El Puerto,Valparaiso,0,95,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,80 o +,De Valparaiso,masculino,no sufragó,Nacional,1,
5,0,Forestal,Viña Del Mar,0,31,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,30-34,De Valparaiso,femenino,sufragó,Nacional,1,1.0
6,0,El Centro,Santiago,0,106,chilena,Chile,Chile,SIN PARTIDO,Santiago,80 o +,Metropolitana De Santiago,femenino,no sufragó,Nacional,1,
7,0,La Cisterna,La Cisterna,0,100,chilena,Chile,Chile,SIN PARTIDO,Santiago,80 o +,Metropolitana De Santiago,femenino,no sufragó,Nacional,1,
8,0,Lota,Lota,0,105,chilena,Chile,Chile,SIN PARTIDO,Concepcion,80 o +,Del Biobio,femenino,no sufragó,Nacional,1,
9,0,Ranquil (Ñipas),Ranquil,0,75,chilena,Chile,Chile,SIN PARTIDO,Itata,75-79,De Ñuble,femenino,no sufragó,Nacional,1,
10,0,Tocopilla,Tocopilla,0,19,chilena,Chile,Chile,SIN PARTIDO,Tocopilla,18 a 19,De Antofagasta,masculino,sufragó,Nacional,1,1.0
11,0,Las Compañias,La Serena,0,19,chilena,Chile,Chile,SIN PARTIDO,Elqui,18 a 19,De Coquimbo,masculino,no sufragó,Nacional,1,
12,0,La Pintana,La Pintana,0,19,chilena,Chile,Chile,SIN PARTIDO,Santiago,18 a 19,Metropolitana De Santiago,masculino,sufragó,Nacional,1,1.0
13,0,La Granja,La Granja,0,19,chilena,Chile,Chile,[137] PARTIDO LIBERAL DE CHILE,Santiago,18 a 19,Metropolitana De Santiago,masculino,no sufragó,Nacional,1,
14,0,Teodoro Schmidt,Teodoro Schmidt,0,19,chilena,Chile,Chile,SIN PARTIDO,Cautin,18 a 19,De La Araucania,femenino,sufragó,Nacional,1,1.0
15,0,Puerto Montt Mirasol,Puerto Montt,0,19,chilena,Chile,Chile,SIN PARTIDO,Llanquihue,18 a 19,De Los Lagos,masculino,sufragó,Nacional,1,1.0
